# INVENTARIO_VERIFICADO=142 ARCHIVOS_A_EJECUTAR=127 NODE=v22.22.2 FECHA_UTC=2026-09-20T09:27:59Z
ruta	clasificacion	codigo_salida	duracion_ms	ultima_marca	resultado_final
tests/g1/p02-evidence-map-contract.mjs	active_contract	0	49ms	G1 P02: mapa de evidencias F1 verificable OK	PASS
tests/g1/p03-la019-contract.mjs	active_contract	0	55ms	G1_P03_LA019_CONTRACT_OK=1	PASS
tests/g1/p04-la023-contract.mjs	active_contract	0	104ms	G1_P04_LA023_CONTRACT_OK=1	PASS
tests/g1/p05-permisos-aislamiento-contract.mjs	active_contract	0	55ms	G1_P05_PERMISOS_AISLAMIENTO_CONTRACT_OK=1	PASS
tests/g1/p06-cifras-conciliaciones-contract.mjs	active_contract	0	56ms	G1_P06_CIFRAS_CONCILIACIONES_CONTRACT_OK=1	PASS
tests/g1/p07-concurrencia-replay-contract.mjs	active_contract	0	50ms	G1_P07_CONCURRENCIA_REPLAY_CONTRACT_OK=1	PASS
tests/g1/p08-la004-gate-contract.mjs	active_contract	0	53ms	G1_P08_LA004_GATE_CONTRACT_OK=1	PASS
tests/hotfix-barrera-reset-local.mjs	active_contract	0	53ms	hotfix-barrera-reset-local: OK	PASS
tests/p1-empty-kv-first-run.mjs	active_contract	0	98ms	p1-empty-kv-first-run: OK	PASS
tests/pm04/contract-tests.mjs	active_contract	0	54ms	PM04_PRODUCTION_DATA_COPIED=0	PASS
tests/pm05/frontend-contract.mjs	active_contract	0	67ms	PM05_PM04_NEGATIVOS_5_5=1	PASS
tests/pm07/frontend-contract.mjs	active_contract	0	105ms	PM07_FRONTEND_CONTRACT_OK=1	PASS
tests/pm08/frontend-contract.mjs	active_contract	0	72ms	PM08_FRONTEND_CONTRACT_OK=1	PASS
tests/pm08/migration-contract.mjs	active_contract	0	53ms	PM08_MIGRATION_CONTRACT_OK=1	PASS
tests/pm08/replay-scope-contract.mjs	active_contract	0	52ms	PM08_REPLAY_SCOPE_CONTRACT_OK=1	PASS
tests/pm09/la007-results-contract.mjs	active_contract	0	91ms	PM09_LA007_CONTRACT_OK=1	PASS
tests/pm09/la008-rotation-margin-contract.mjs	active_contract	0	93ms	PM09_LA008_CONTRACT_OK=1	PASS
tests/pm09/p09-historial-contract.mjs	active_contract	0	103ms	PM09_P09_HISTORIAL_CONTRACT_OK=1	PASS
tests/pm09/p10-caja-contract.mjs	active_contract	0	92ms	PM09_P10_CAJA_CONTRACT_OK=1	PASS
tests/pm09/p11-iva-contract.mjs	active_contract	0	100ms	PM09_P11_IVA_CONTRACT_OK=1	PASS
tests/pm09/p12-resultados-margin-contract.mjs	active_contract	0	90ms	PM09_P12_RESULTADOS_CONTRACT_OK=1	PASS
tests/pm09/p15-special-economic-contract.mjs	active_contract	0	82ms	PM09_P15_SPECIAL_ECONOMIC_CONTRACT_OK=1	PASS
tests/pm09/p16-isolation-context-contract.mjs	active_contract	0	87ms	PM09_P16_ISOLATION_CONTEXT_CONTRACT_OK=1	PASS
tests/pm09/p17-robustness-contract.mjs	active_contract	0	92ms	PM09_P17_ROBUSTNESS_CONTRACT_OK=1	PASS
tests/pm10/p04-productos-contract.mjs	active_contract	0	99ms	PM10 P04 LA-011 productos: contrato OK	PASS
tests/pm10/p05-pedidos-contract.mjs	active_contract	0	82ms	PM10 P05 LA-012 Pedidos: contrato OK	PASS
tests/pm10/p06-recepcion-contract.mjs	active_contract	0	97ms	PM10 P06 LA-013 Recepción: contrato OK	PASS
tests/pm10/p07-personal-contract.mjs	active_contract	0	86ms	PM10 P07 LA-017 Personal: contrato OK	PASS
tests/pm10/p08-encargos-contract.mjs	active_contract	0	91ms	PM10 P08 LA-018 Encargos: contrato OK	PASS
tests/pm10/p09-transversal-contract.mjs	active_contract	0	97ms	PM10 P09 transversal: contrato común, atomicidad, legados y contexto OK	PASS
tests/pm10/p10-autoridad-persistencia-contract.mjs	active_contract	0	91ms	PM10 P10 autoridad persistencia: contrato OK	PASS
tests/pm10/p11-robustez-altas-contract.mjs	active_contract	0	89ms	PM10 P11 robustez altas/recepción: contrato OK	PASS
tests/pm10/p12-datos-legados-contract.mjs	active_contract	0	93ms	PM10 P12 datos legados y ambiguos: contrato OK	PASS
tests/pm10/p13-contexto-aislamiento-contract.mjs	active_contract	0	98ms	PM10 P13 aislamiento/contexto A1-A2-B1-Todos-inactivo: contrato OK	PASS
tests/pm11-compra/p02-contrato-e2e-estados-contract.mjs	active_contract	0	52ms	PM11_COMPRA_P02_CONTRATO_E2E_ESTADOS=PASS	PASS
tests/pm11-compra/p03-recepciones-multiples-replay-contract.mjs	active_contract	0	84ms	PM11_COMPRA_P03_RECEPCIONES_MULTIPLES_REPLAY=PASS	PASS
tests/pm11-compra/p04-albaran-trazabilidad-contract.mjs	active_contract	0	81ms	PM11_COMPRA_P04_ALBARAN_TRAZABILIDAD=PASS	PASS
tests/pm11-compra/p05-factura-identidad-contract.mjs	active_contract	0	89ms	PM11_COMPRA_P05_FACTURA_IDENTIDAD=PASS	PASS
tests/pm11-compra/p06-pago-reverso-e2e-contract.mjs	active_contract	0	85ms	PM11_COMPRA_P06_PAGO_REVERSO_E2E=PASS	PASS
tests/pm11-compra/p07-aislamiento-permisos-e2e-contract.mjs	active_contract	0	79ms	PM11_COMPRA_P07_AISLAMIENTO_PERMISOS_E2E=PASS	PASS
tests/pm11-compra/p08-fallos-replay-concurrencia-contract.mjs	active_contract	0	89ms	PM11_COMPRA_P08_FALLOS_REPLAY_CONCURRENCIA=PASS	PASS
tests/pm11-compra/p09-conciliacion-e2e-contract.mjs	active_contract	0	98ms	PM11_COMPRA_P09_CONCILIACION_E2E=PASS	PASS
tests/pm11-compra/p10-regresion-integral-contract.mjs	active_contract	0	86ms	PM11_COMPRA_P10_REGRESION_INTEGRAL=PASS	PASS
tests/pm12/p01-checkpoint-inventario-contract.mjs	active_contract	0	89ms	PM12_P01_CONTRACT=PASS	PASS
tests/pm12/p02-estados-normalizacion-contract.mjs	active_contract	0	52ms	PM12_P02_ESTADOS_NORMALIZACION=PASS	PASS
tests/pm12/p03-documento-corte-contract.mjs	active_contract	0	52ms	PM12_P03_DOCUMENTO_CORTE=PASS	PASS
tests/pm12/p04-cierre-honesto-ux-contract.mjs	active_contract	0	99ms	COMPLETO_SIN_CONFIRMACION_EXTRA=1	PASS
tests/pm12/p05-ajustes-trazables-contract.mjs	active_contract	0	104ms	REPLAY_SIN_DUPLICAR=1	PASS
tests/pm12/p06-cancelacion-conservadora-contract.mjs	active_contract	0	120ms	LEGADOS_CONSERVADORES=1	PASS
tests/pm12/p07-permisos-aislamiento-ajustes-contract.mjs	active_contract	0	112ms	TRAZABILIDAD_ACTOR_CONTEXTO=1	PASS
tests/pm12/p08-fallos-replay-concurrencia-contract.mjs	active_contract	0	99ms	REPLAY_PARCIAL_FAIL_CLOSED=1	PASS
